,A2A,AMPLIFON,AVIO,AZIMUT,BCA_MEDIOLANUM,BCA_MPS,BCO_BPM,BPER_BANCA,BRUNELLO CUC,BUZZI,CAMPARI,DIASORIN,ENEL,ENI,FERRARI,FINCANTIERI,FINECOBANK,GENERALI,HERA,INTESA SP,INWIT,ITALGAS,LEONARDO,MEDIOBANCA,MONCLER,POSTE IT,PRYSMIAN,RECORDATI,SAIPEM,SNAM,STELLANTIS,STMICROELECTRONICS,TELECOM IT,TENARIS,TERNA,UNICREDIT,UNIPOL
INWIT,0.40938056806663053,0.3020374847332983,0.12530912908550906,0.2506449906809393,0.23198245030875145,-0.00106954414923731,0.1755385806378988,0.16857974793582153,0.17242153459409687,0.1623619576086179,0.2649137031227772,0.23484421193353675,0.40678387512341146,0.201829622133073,0.30035654997731526,0.13642472401070693,0.24210428736048034,0.30601041199969226,0.4223146312057916,0.2548054825745495,1.0,0.42092511412559475,0.13500198545276332,0.23965872236708474,0.29193946642284796,0.32009471766879316,0.1955629331640988,0.32838513115074724,0.0259604916555861,0.3860486868496543,0.2112314338998659,0.21428453859439678,0.27075827013228965,0.11170523563580988,0.4005348925341518,0.17122005209605715,0.23214083969316426
ITALGAS,0.6883789815374105,0.2829005384903943,0.1470615691058982,0.4180897211748069,0.33688004951118417,0.004832567346667496,0.28972083235120305,0.28975492237910305,0.21344999255894762,0.25357325993861096,0.32512059407183597,0.2237688349919636,0.6266048125962089,0.3961040351478129,0.30432291164508773,0.22123007524433647,0.3346392034280294,0.4807204411188217,0.6656393726393061,0.3830230760070211,0.42092511412559475,1.0,0.2954751260053517,0.350486460384078,0.3054307290951096,0.4824617917279474,0.29120388676292264,0.44636307133898406,0.15737320803605623,0.7264048418867963,0.2501519428175467,0.2215685764701198,0.2995955368324461,0.24602716561870056,0.7044667227861978,0.280239431565802,0.40794878039384797
LEONARDO,0.3558773164091069,0.15496289192608412,0.3500550632229478,0.4137396460535691,0.41731650469853276,-0.0046275742837925985,0.38005362259006314,0.3884211071477766,0.1767733445405122,0.37962129075002954,0.15838372177665042,0.005318209479382016,0.3216740473289873,0.45372663063559987,0.2273733195584663,0.4327255585981548,0.3419245923844054,0.47792194996820836,0.30756323200102426,0.42719113429683553,0.13500198545276332,0.2954751260053517,1.0,0.4257725141773523,0.2530972416653037,0.4377706975798208,0.3215204147916707,0.1954663928984166,0.24581807506655298,0.30021430028469626,0.34067714247173586,0.29772016927982936,0.29009508286150265,0.41449773100261644,0.2708345394660888,0.41591614739456717,0.4303091202819294
MEDIOBANCA,0.434682035695858,0.2732433909653219,0.19505473781353835,0.6411565084071069,0.6614426202725535,0.015929161745530857,0.6475672615858533,0.6171955497239547,0.30049624392941304,0.5249726047980647,0.2899333132522276,0.08001696404374754,0.48403139026591974,0.5368605918103715,0.3598622143403816,0.3522409231160067,0.5813899796440917,0.6837667863657716,0.3958969410047096,0.7512739821936052,0.23965872236708474,0.350486460384078,0.4257725141773523,1.0,0.4242334901160188,0.6457465004804572,0.4254868362175054,0.32690202830446546,0.27266055658835997,0.3638941727697808,0.5036492390139393,0.4023773161873966,0.40022318772692,0.42750533783043426,0.3047694348600269,0.6616621436753275,0.5958115304102818
MONCLER,0.3700456075347119,0.37002196408153787,0.15195965382140983,0.4909297850409387,0.44055742657187896,0.0065613992548158775,0.3367562004514852,0.36131364340084615,0.579343602424475,0.391550679849019,0.4348390930506675,0.22133636864012468,0.4031473804219987,0.35748389976654,0.47990618745315844,0.24424637157061174,0.4315351677299254,0.43069549341190116,0.34814300208033183,0.4514483431789831,0.29193946642284796,0.3054307290951096,0.2530972416653037,0.4242334901160188,1.0,0.403366296971312,0.39988522152189504,0.3738748654670992,0.17147593686742113,0.30120827077044,0.4619335211303786,0.46476788634880145,0.26845327423898674,0.32257867400018236,0.24207584136407065,0.3788817626466089,0.3722668427322325
POSTE IT,0.5331581171827051,0.3308823197929338,0.258486433221014,0.630508221846798,0.6395433344256262,0.011469445417674118,0.5874558688096556,0.5594931779978,0.2785969892157202,0.49493508433010963,0.35123748595559856,0.19047754686258073,0.6011527305399342,0.5299856980524782,0.3711529004853065,0.35590995906210987,0.5835178356611823,0.6701564410662691,0.5306296466467559,0.6817540037418439,0.32009471766879316,0.4824617917279474,0.4377706975798208,0.6457465004804572,0.403366296971312,1.0,0.48024669461963865,0.4199005729769735,0.2595654863853764,0.5528920988222599,0.4584964521102902,0.4236728980868443,0.42978867466814213,0.41755212508009043,0.46992061033217636,0.6056562627239545,0.6380938646036438
PRYSMIAN,0.35215262780485246,0.3003704394485974,0.2463946754052479,0.5161851083365697,0.47266606740410283,-0.016326749106059756,0.40992389139409735,0.3758921347530949,0.30635063869703294,0.45695552664858846,0.3173925812173589,0.2023837085809189,0.39774661237189635,0.35714337121785594,0.4185849325210764,0.26891032549795374,0.46904516800988777,0.42747581913720156,0.31214542674215057,0.4914098416224364,0.1955629331640988,0.29120388676292264,0.3215204147916707,0.4254868362175054,0.39988522152189504,0.48024669461963865,1.0,0.36438889163112065,0.2163841142404285,0.34653710866053017,0.4241425033833428,0.4455324542159559,0.2977962129858523,0.32901921246263577,0.30973537049727456,0.43417332655483976,0.4397619921752202
RECORDATI,0.4386900386314611,0.43054370191329094,0.15084742055358458,0.4082838820985762,0.3443243186515471,-0.014008131896741702,0.27500876604585067,0.25278322920780255,0.2643552305618108,0.29434620518687343,0.3878695044554934,0.37974306974532634,0.4472797397258736,0.2748545055132013,0.4242965485972791,0.18023177211851785,0.3760564369459543,0.34528327771129275,0.4639592621800071,0.32259809080353485,0.32838513115074724,0.44636307133898406,0.1954663928984166,0.32690202830446546,0.3738748654670992,0.4199005729769735,0.36438889163112065,1.0,0.11363253233208555,0.4594808702505415,0.304101195723067,0.262305023306651,0.26985047173510357,0.17990915787724143,0.42588265784265344,0.25082805688390075,0.33161331499985747
SAIPEM,0.2109352384130045,0.10570232852828926,0.12248230959501245,0.23569829195337358,0.23702568312427819,-0.017759863594363712,0.26587522057400625,0.2571340324339536,0.14035485384598503,0.22468760411782857,0.10488239228963346,0.019790722215591583,0.20500205110701758,0.38583676628699504,0.14411867423734623,0.20506656389448613,0.2251945371635818,0.27650989078710303,0.17444928939572552,0.2881932825014107,0.0259604916555861,0.15737320803605623,0.24581807506655298,0.27266055658835997,0.17147593686742113,0.2595654863853764,0.2163841142404285,0.11363253233208555,1.0,0.18099403190995628,0.2396738368660166,0.1751121589984286,0.24806472664682444,0.4029062656724548,0.11925040858016758,0.27042340847908497,0.24180129780215986
SNAM,0.6258041431528197,0.3264883471715081,0.15930792555656959,0.38525520928629975,0.3240515096708176,-0.02887004764955066,0.308063285755384,0.2756243141010946,0.1895959741835001,0.24463558430767293,0.37254091004060164,0.22146610598773347,0.6842587241108163,0.4465986667879497,0.3105923782233355,0.20911295325408458,0.3347235772339522,0.46594032975007843,0.6670210783968101,0.3798650833171198,0.3860486868496543,0.7264048418867963,0.30021430028469626,0.3638941727697808,0.30120827077044,0.5528920988222599,0.34653710866053017,0.4594808702505415,0.18099403190995628,1.0,0.24432666600873257,0.2555491227676594,0.3254968122822448,0.27959691805407505,0.8310329494588203,0.29369943067555293,0.40775753491460076
STELLANTIS,0.33737086640149866,0.2817466378299236,0.16491775962010183,0.5097061241588926,0.5267799842038953,0.0025348402150418563,0.4537099248774708,0.4342444136915149,0.3603332750001149,0.4678457552814471,0.2781046907921044,0.1448663803266571,0.37371674178355185,0.43241208171035406,0.4602342745267116,0.3055851392760523,0.43522284473599665,0.4841079448431381,0.308926585761954,0.5560412014104542,0.2112314338998659,0.2501519428175467,0.34067714247173586,0.5036492390139393,0.4619335211303786,0.4584964521102902,0.4241425033833428,0.304101195723067,0.2396738368660166,0.24432666600873257,1.0,0.5025312523953477,0.3219650785235597,0.3752045481424925,0.1890691439593582,0.5025899460469614,0.4093433805080929
STMICROELECTRONICS,0.29984713402166796,0.3129736149955699,0.167322378436794,0.47918787231713816,0.4338501092933435,-0.01340694309910944,0.3301172267022224,0.3309500661962537,0.34708612221681867,0.42305950425572586,0.29539599915100023,0.22920804222484878,0.34271303628990835,0.34316055913109433,0.4134077763423674,0.25545911019182327,0.4111702927316205,0.40603285948078177,0.2534319044390952,0.4422842623494092,0.21428453859439678,0.2215685764701198,0.29772016927982936,0.4023773161873966,0.46476788634880145,0.4236728980868443,0.4455324542159559,0.262305023306651,0.1751121589984286,0.2555491227676594,0.5025312523953477,1.0,0.2289979690609374,0.30603398847509244,0.20731996444881784,0.3786309678554848,0.361171592880782
TELECOM IT,0.3448877163092249,0.19221946568812426,0.1527393009775878,0.39936590152851026,0.38370853169952684,-0.026603041110287523,0.41400467936987784,0.3831298428145797,0.1891706755637939,0.301108836736136,0.224287200347341,0.05398153951904443,0.37942204908905736,0.39550183943379363,0.2705844552545305,0.2673194023819558,0.34936940263495325,0.3983944446912999,0.3232726191641444,0.43641120490314855,0.27075827013228965,0.2995955368324461,0.29009508286150265,0.40022318772692,0.26845327423898674,0.42978867466814213,0.2977962129858523,0.26985047173510357,0.24806472664682444,0.3254968122822448,0.3219650785235597,0.2289979690609374,1.0,0.3130498318192784,0.2783588744656629,0.40600115236843354,0.4040085488587992
TENARIS,0.30669846303123743,0.1387712306068863,0.18854894592299146,0.4049440381241235,0.38115350507354373,-0.014916572210969783,0.40079323113123616,0.37674813898569126,0.2589677550527636,0.38473209188114704,0.19221200230639818,0.03571394564949434,0.30697650520504816,0.6932167357133799,0.24335542560725285,0.3054402621926918,0.35944457612915265,0.4575814916590453,0.2558770384974546,0.448593911959735,0.11170523563580988,0.24602716561870056,0.41449773100261644,0.42750533783043426,0.32257867400018236,0.41755212508009043,0.32901921246263577,0.17990915787724143,0.4029062656724548,0.27959691805407505,0.3752045481424925,0.30603398847509244,0.3130498318192784,1.0,0.18382932861270687,0.4091530817318495,0.39010811853628297
TERNA,0.6121712966235523,0.28666673466901615,0.14555222895207742,0.3341363051828834,0.28966818080325685,-0.017067377373852343,0.23716252725581535,0.1946616025822753,0.14659645437670335,0.19580594995790232,0.3576353647558271,0.21854308686291848,0.6480107285603199,0.3505758552873766,0.29535200585330307,0.1792758040900905,0.27918779914070263,0.4222243800616576,0.6533631954506505,0.326980247289087,0.4005348925341518,0.7044667227861978,0.2708345394660888,0.3047694348600269,0.24207584136407065,0.46992061033217636,0.30973537049727456,0.42588265784265344,0.11925040858016758,0.8310329494588203,0.1890691439593582,0.20731996444881784,0.2783588744656629,0.18382932861270687,1.0,0.22704372971468811,0.3395586803584679
UNICREDIT,0.3711357098094751,0.19903065243145526,0.19838073992974914,0.5771753061976161,0.6603143614521011,0.01982862085441889,0.7414532350325584,0.7123073792858898,0.28033805475646373,0.5224543289717901,0.2598941611542493,0.006930472590097107,0.4333392992883008,0.4915987147687025,0.31807095146526715,0.34628687035472777,0.5840819711182401,0.6198731688173209,0.3322864330144646,0.8186811454225388,0.17122005209605715,0.280239431565802,0.41591614739456717,0.6616621436753275,0.3788817626466089,0.6056562627239545,0.43417332655483976,0.25082805688390075,0.27042340847908497,0.29369943067555293,0.5025899460469614,0.3786309678554848,0.40600115236843354,0.4091530817318495,0.22704372971468811,1.0,0.5892176216735192
UNIPOL,0.46112189368708895,0.22033451375957888,0.22384731573795227,0.6104566023763829,0.5968751668806767,0.0029885431913544255,0.5699593662394189,0.5818792282182914,0.28081723978972695,0.4679159971355012,0.2908760600756992,0.101957661911573,0.46444709661908995,0.46855675119250345,0.33247118693551825,0.3507353717856587,0.5302904448972972,0.6950522421807169,0.3864808469816739,0.6565036701740843,0.23214083969316426,0.40794878039384797,0.4303091202819294,0.5958115304102818,0.3722668427322325,0.6380938646036438,0.4397619921752202,0.33161331499985747,0.24180129780215986,0.40775753491460076,0.4093433805080929,0.361171592880782,0.4040085488587992,0.39010811853628297,0.3395586803584679,0.5892176216735192,1.0
